#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Wed May 26 01:19:32 2021

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       mult_map.ncd
#OUTPUT FILE:      mult_pad.csv
#PART TYPE:        xc7a100t
#SPEED GRADE:      -3
#PACKAGE:          csg324
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,b<4>,IOB,IO_L9N_T1_DQS_AD7N_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
A2,,,GND,,,,,,,,,,,,
A3,b<2>,IOB,IO_L8N_T1_AD14N_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
A4,b<1>,IOB,IO_L8P_T1_AD14P_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
A5,result<24>,IOB,IO_L3N_T0_DQS_AD5N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
A6,result<23>,IOB,IO_L3P_T0_DQS_AD5P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
A7,,,VCCO_35,,,35,,,,,1.80,,,,
A8,,IOB33S,IO_L12N_T1_MRCC_16,UNUSED,,16,,,,,,,,,
A9,,IOB33S,IO_L14N_T2_SRCC_16,UNUSED,,16,,,,,,,,,
A10,,IOB33M,IO_L14P_T2_SRCC_16,UNUSED,,16,,,,,,,,,
A11,a<8>,IOB,IO_L4N_T0_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
A12,,,GND,,,,,,,,,,,,
A13,a<17>,IOB,IO_L9P_T1_DQS_AD3P_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
A14,a<18>,IOB,IO_L9N_T1_DQS_AD3N_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
A15,a<15>,IOB,IO_L8P_T1_AD10P_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
A16,a<16>,IOB,IO_L8N_T1_AD10N_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
A17,,,VCCO_15,,,15,,,,,1.80,,,,
A18,a<24>,IOB,IO_L10N_T1_AD11N_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
B1,b<3>,IOB,IO_L9P_T1_DQS_AD7P_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
B2,b<6>,IOB,IO_L10N_T1_AD15N_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
B3,a<26>,IOB,IO_L10P_T1_AD15P_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
B4,b<0>,IOB,IO_L7N_T1_AD6N_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
B5,,,GND,,,,,,,,,,,,
B6,result<22>,IOB,IO_L2N_T0_AD12N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
B7,result<21>,IOB,IO_L2P_T0_AD12P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
B8,,IOB33M,IO_L12P_T1_MRCC_16,UNUSED,,16,,,,,,,,,
B9,,IOB33S,IO_L11N_T1_SRCC_16,UNUSED,,16,,,,,,,,,
B10,,,VCCO_16,,,16,,,,,any******,,,,
B11,a<7>,IOB,IO_L4P_T0_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
B12,a<6>,IOB,IO_L3N_T0_DQS_AD1N_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
B13,a<3>,IOB,IO_L2P_T0_AD8P_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
B14,a<4>,IOB,IO_L2N_T0_AD8N_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
B15,,,GND,,,,,,,,,,,,
B16,a<13>,IOB,IO_L7P_T1_AD2P_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
B17,a<14>,IOB,IO_L7N_T1_AD2N_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
B18,a<29>,IOB,IO_L10P_T1_AD11P_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
C1,result<0>,IOB,IO_L16N_T2_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
C2,b<17>,IOB,IO_L16P_T2_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
C3,,,VCCO_35,,,35,,,,,1.80,,,,
C4,result<31>,IOB,IO_L7P_T1_AD6P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
C5,result<20>,IOB,IO_L1N_T0_AD4N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
C6,result<19>,IOB,IO_L1P_T0_AD4P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
C7,result<26>,IOB,IO_L4N_T0_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
C8,,,GND,,,,,,,,,,,,
C9,,IOB33M,IO_L11P_T1_SRCC_16,UNUSED,,16,,,,,,,,,
C10,,IOB33S,IO_L13N_T2_MRCC_16,UNUSED,,16,,,,,,,,,
C11,,IOB33M,IO_L13P_T2_MRCC_16,UNUSED,,16,,,,,,,,,
C12,a<5>,IOB,IO_L3P_T0_DQS_AD1P_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
C13,,,VCCO_15,,,15,,,,,1.80,,,,
C14,a<2>,IOB,IO_L1N_T0_AD0N_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
